Número do Bem,Motivo
8444420701142,Falha na requisição HTTP
8444406063967,Falha na requisição HTTP
1444418229050,Falha na requisição HTTP
1444413071076,Falha na requisição HTTP
1787701418422,Falha na requisição HTTP
8444409017850,Falha na requisição HTTP
1555504765285,Falha na requisição HTTP
8787706549515,Falha na requisição HTTP
1444408506566,Falha na requisição HTTP
1444407047827,Falha na requisição HTTP
8444422218767,Falha na requisição HTTP
1787701824536,Falha na requisição HTTP
8444403381399,Falha na requisição HTTP
8444428716211,Falha na requisição HTTP
1444413826158,Falha na requisição HTTP
1444417233429,Falha na requisição HTTP
1444415254305,Falha na requisição HTTP
1555530256414,Falha na requisição HTTP
1444413222244,Falha na requisição HTTP
8787701907570,Falha na requisição HTTP
1444418325815,Falha na requisição HTTP
8444413158897,Falha na requisição HTTP
8555509782674,Falha na requisição HTTP
10210125,Falha na requisição HTTP
8444418186600,Falha na requisição HTTP
10208953,Falha na requisição HTTP
10210457,Falha na requisição HTTP
1444417059615,Falha na requisição HTTP
1444419518137,Falha na requisição HTTP
10204783,Falha na requisição HTTP
8444403226830,Falha na requisição HTTP
8787710089132,Falha na requisição HTTP
8787708502036,Falha na requisição HTTP
1444419163428,Falha na requisição HTTP
1444420039620,Falha na requisição HTTP
8444415563071,Falha na requisição HTTP
1444422455574,Falha na requisição HTTP
1444420359454,Falha na requisição HTTP
1444419627408,Falha na requisição HTTP
1444412607886,Falha na requisição HTTP
1444418890180,Falha na requisição HTTP
1444419137532,Falha na requisição HTTP
1444419507321,Falha na requisição HTTP
1444406495680,Falha na requisição HTTP
1444406406823,Falha na requisição HTTP
8444410774171,Falha na requisição HTTP
1444420911874,Falha na requisição HTTP
8444430595825,Falha na requisição HTTP
1444421923639,Falha na requisição HTTP
1600000047256,Falha na requisição HTTP
1555510619899,Falha na requisição HTTP
